text,label
mujhe dar lag raha hai please,1
hey naan aabathil iruken,1
udhavi pannunga!!!,1
I AM FINE,0
I LIKE MUSIC,0
hey i am in danger,1
mujhe bachao bro,1
uh naan nalla iruken,0
someone is following me please,1
i am studying bro,0
i am in danger now,1
mujhe dar lag raha hai!!!,1
MADAD KARO,1
help karo please,1
mujhe dar lag raha hai!!!,1
mujhe bachao,1
emergency hai,1
hey emergency hai,1
good morning,0
main college ja raha hoon!!!,0
hey naan aabathil iruken,1
JALDI MADAD KARO,1
i am going to college now,0
MAIN PADHAI KAR RAHA HOON,0
MAIN KHATRE MEIN HOON,1
mujhe bachao bro,1
enakku music pidikkum!!!,0
enakku bayama irukku,1
good morning please,0
NAAN HAPPY AH IRUKEN,0
i am scared bro,1
enakku music pidikkum bro,0
enakku music pidikkum please,0
save me!!!,1
jaldi madad karo please,1
seekiram help pannunga bro,1
MAIN KHATRE MEIN HOON,1
TIME ENNA,0
enna help pannunga please,1
naan padikkiren bro,0
ennai kappathunga please,1
uh mujhe help chahiye,1
help me,1
HELLO HOW ARE YOU,0
uh help me,1
jaldi madad karo,1
UDHAVI PANNUNGA,1
mujhe dar lag raha hai,1
i feel unsafe bro,1
HELP VENUM,1
hey good morning,0
I AM SCARED,1
i am going to college bro,0
what is the time bro,0
what is the time now,0
koi mera peecha kar raha hai bro,1
I AM SCARED,1
NAAN PADIKKIREN,0
yaaro ennai pin thodaranga!!!,1
mujhe bachao,1
i am scared now,1
mujhe bachao,1
hey naan happy ah iruken,0
hey mujhe bachao,1
uh help me,1
what is the time,0
hey i like music,0
uh i am studying,0
good morning!!!,0
uh time kya hua hai,0
main padhai kar raha hoon please,0
i feel unsafe now,1
save me!!!,1
help me bro,1
hey hello how are you,0
mujhe bachao please,1
hey seekiram help pannunga,1
hey someone is following me,1
main college ja raha hoon bro,0
HELP ME,1
someone is following me bro,1
hey mujhe music pasand hai,0
i am in danger now,1
police ah koopdunga!!!,1
naan college pogiren!!!,0
emergency ah irukku!!!,1
main khatre mein hoon please,1
ennai kappathunga,1
uh main khatre mein hoon,1
i feel unsafe bro,1
PLEASE HELP,1
WHAT IS THE TIME,0
main padhai kar raha hoon please,0
I FEEL UNSAFE,1
main college ja raha hoon!!!,0
naan padikkiren bro,0
mujhe help chahiye please,1
PLEASE HELP,1
ennai kappathunga please,1
main theek hoon now,0
i am going to college,0
i feel unsafe!!!,1
i like music please,0
chill bro,0
main padhai kar raha hoon please,0
SOMEONE IS FOLLOWING ME,1
seekiram help pannunga now,1
mujhe music pasand hai bro,0
time kya hua hai please,0
hey i am studying,0
uh naan college pogiren,0
good morning please,0
hey someone is following me,1
ennai kappathunga please,1
hey i am studying,0
main khatre mein hoon now,1
good morning bro,0
i feel unsafe!!!,1
hey i am in danger,1
POLICE KO BULAO,1
uh naan ok bro,0
NAAN COLLEGE POGIREN,0
good morning!!!,0
mujhe dar lag raha hai,1
hey good morning,0
i feel unsafe please,1
time kya hua hai bro,0
yaaro ennai pin thodaranga,1
hey jaldi madad karo,1
seekiram help pannunga,1
hey help karo,1
mujhe music pasand hai,0
enakku music pidikkum bro,0
please madad karo bro,1
seekiram help pannunga now,1
jaldi madad karo,1
naan padikkiren,0
uh police ko bulao,1
help karo bro,1
ENAKKU MUSIC PIDIKKUM,0
call the police!!!,1
enakku music pidikkum please,0
uh enakku music pidikkum,0
main college ja raha hoon,0
SEEKIRAM HELP PANNUNGA,1
mujhe music pasand hai now,0
i am fine bro,0
hey naan nalla iruken,0
ENAKKU MUSIC PIDIKKUM,0
KOI MERA PEECHA KAR RAHA HAI,1
naan happy ah iruken now,0
uh i am scared,1
emergency ah irukku!!!,1
uh naan nalla iruken,0
chill bro please,0
time enna please,0
uh udhavi pannunga,1
hey please madad karo,1
police ah koopdunga please,1
good morning,0
uh time kya hua hai,0
what is the time now,0
please help!!!,1
enakku music pidikkum please,0
naan nalla iruken,0
emergency hai please,1
ennai kappathunga bro,1
call the police,1
good morning now,0
mujhe bachao,1
chill bro please,0
hey koi mera peecha kar raha hai,1
hey ennai kappathunga,1
madad karo now,1
MUJHE DAR LAG RAHA HAI,1
jaldi madad karo!!!,1
enakku bayama irukku!!!,1
main khatre mein hoon please,1
uh naan college pogiren,0
hello how are you now,0
YAARO ENNAI PIN THODARANGA,1
uh naan nalla iruken,0
madad karo bro,1
good morning now,0
uh i am in danger,1
emergency ah irukku bro,1
good morning now,0
uh emergency ah irukku,1
help karo bro,1
good morning,0
main theek hoon please,0
emergency ah irukku please,1
hey time kya hua hai,0
naan nalla iruken now,0
uh seekiram help pannunga,1
naan college pogiren please,0
naan college pogiren,0
good morning,0
jaldi madad karo,1
uh time enna,0
hey i feel unsafe,1
uh emergency hai,1
uh all good yaar,0
i am going to college,0
uh time enna,0
main college ja raha hoon!!!,0
i am studying now,0
hey police ko bulao,1
good morning now,0
hey help me,1
uh what is the time,0
uh save me,1
madad karo please,1
udhavi pannunga,1
main college ja raha hoon!!!,0
naan nalla iruken please,0
emergency hai!!!,1
MUJHE HELP CHAHIYE,1
ENAKKU MUSIC PIDIKKUM,0
main khatre mein hoon please,1
hey police ko bulao,1
police ko bulao please,1
police ko bulao please,1
ENAKKU MUSIC PIDIKKUM,0
hey i feel unsafe,1
naan aabathil iruken,1
uh i am studying,0
someone is following me,1
uh help venum,1
help me please,1
police ko bulao!!!,1
I AM STUDYING,0
madad karo,1
uh please help,1
good morning now,0
i am fine now,0
call the police now,1
time kya hua hai,0
MAIN PADHAI KAR RAHA HOON,0
yaaro ennai pin thodaranga bro,1
hey i am scared,1
uh emergency ah irukku,1
uh emergency ah irukku,1
uh naan aabathil iruken,1
police ah koopdunga please,1
i feel unsafe bro,1
hey enakku music pidikkum,0
yaaro ennai pin thodaranga!!!,1
MAIN PADHAI KAR RAHA HOON,0
mujhe bachao now,1
emergency hai now,1
call the police please,1
i am fine!!!,0
POLICE KO BULAO,1
naan padikkiren!!!,0
i am studying!!!,0
time kya hua hai bro,0
hey what is the time,0
naan happy ah iruken please,0
good morning now,0
SAVE ME,1
help venum!!!,1
hello how are you,0
call the police now,1
MAIN COLLEGE JA RAHA HOON,0
